K,n,median,max,t_rom
1,1403,3.440820429029725e-05,0.009736718480908077,166.0005529411137
2,1407,3.6047032951264996e-05,0.02078147864866534,139.48800484649837
4,1407,3.554271909471429e-05,0.01781569103492853,110.77516991645098
6,1405,4.353535664344074e-05,0.036293276455131716,83.59000994823873
